0,啊,a
1,吧,ba
2,薭,bai
3,螁,ban
4,藵,bao
5,呗,bei
6,卞,biàn
7,鳔,biào
8,别,bié
9,边,biān
10,杓,biāo
11,憋,biē
12,瘪,biě
13,贬,biǎn
14,表,biǎo
15,卜,bo
16,坝,bà
17,败,bài
18,办,bàn
19,蚌,bàng
20,报,bào
21,茇,bá
22,白,bái
23,窇,báo
24,贝,bèi
25,坌,bèn
26,泵,bèng
27,甭,béng
28,币,bì
29,摈,bìn
30,并,bìng
31,荸,bí
32,檗,bò
33,驳,bó
34,不,bù
35,鳪,bú
36,八,bā
37,掰,bāi
38,扳,bān
39,邦,bāng
40,包,bāo
41,陂,bēi
42,奔,bēn
43,崩,bēng
44,北,běi
45,本,běn
46,绷,běng
47,逼,bī
48,邠,bīn
49,冰,bīng
50,拨,bō
51,逋,bū
52,把,bǎ
53,百,bǎi
54,阪,bǎn
55,绑,bǎng
56,饱,bǎo
57,匕,bǐ
58,丙,bǐng
59,跛,bǒ
60,卟,bǔ
61,啜,chuài
62,串,chuàn
63,创,chuàng
64,膗,chuái
65,传,chuán
66,床,chuáng
67,垂,chuí
68,辵,chuò
69,揣,chuāi
70,巛,chuān
71,疮,chuāng
72,吹,chuī
73,踔,chuō
74,舛,chuǎn
75,闯,chuǎng
76,汊,chà
77,虿,chài
78,忏,chàn
79,怅,chàng
80,耖,chào
81,秅,chá
82,侪,chái
83,谗,chán
84,苌,cháng
85,晁,cháo
86,彻,chè
87,衬,chèn
88,秤,chèng
89,尘,chén
90,丞,chéng
91,叱,chì
92,弛,chí
93,铳,chòng
94,臭,chòu
95,虫,chóng
96,仇,chóu
97,处,chù
98,刍,chú
99,纯,chún
100,叉,chā
101,钗,chāi
102,觇,chān
103,伥,chāng
104,抄,chāo
105,车,chē
106,抻,chēn
107,柽,chēng
108,扯,chě
109,碜,chěn
110,骋,chěng
111,吃,chī
112,冲,chōng
113,抽,chōu
114,出,chū
115,春,chūn
116,衩,chǎ
117,茝,chǎi
118,产,chǎn
119,厂,chǎng
120,吵,chǎo
121,尺,chǐ
122,宠,chǒng
123,丑,chǒu
124,杵,chǔ
125,賰,chǔn
126,茐,cong
127,窜,cuàn
128,紣,cuì
129,厝,cuò
130,虘,cuó
131,汆,cuān
132,崔,cuī
133,搓,cuō
134,趡,cuǐ
135,脞,cuǒ
136,菜,cài
137,灿,càn
138,肏,cào
139,才,cái
140,残,cán
141,藏,cáng
142,曹,cáo
143,册,cè
144,蹭,cèng
145,岑,cén
146,层,céng
147,次,cì
148,词,cí
149,謥,còng
150,凑,còu
151,从,cóng
152,促,cù
153,寸,cùn
154,徂,cú
155,存,cún
156,嚓,cā
157,猜,cāi
158,参,cān
159,仓,cāng
160,糙,cāo
161,噌,cēng
162,呲,cī
163,匆,cōng
164,粗,cū
165,邨,cūn
166,礤,cǎ
167,采,cǎi
168,惨,cǎn
169,艸,cǎo
170,此,cǐ
171,忖,cǔn
172,瘩,da
173,地,de
174,电,diàn
175,吊,diào
176,耊,diè
177,迭,dié
178,甸,diān
179,刁,diāo
180,爹,diē
