Lemma	PoS	Freq(ipm)	R	D	Doc
абажур	s	4.9	79	90	269
аббат	s	1.6	44	79	63
абвер	s	2.7	22	38	25
абзац	s	10.2	99	87	478
абордаж	s	0.5	38	85	44
абориген	s	5.8	86	82	255
аборт	s	8.3	93	87	300
абрикос	s	3.3	72	80	139
абсент	s	1.4	26	62	34
абсорбент	s	0.4	6	34	7
абсцесс	s	0.4	19	74	21
авангард	s	9.8	90	88	447
аванс	s	7.1	96	93	375
авария	s	29.6	99	91	1183
авиабаза	s	2.3	51	82	92
авиабилет	s	1.7	59	87	114
авианосец	s	3.0	58	74	121
авиатор	s	1.8	59	86	117
авокадо	s	0.8	43	84	51
авоська	s	4.9	79	87	228
авто	s	6.3	84	89	376
автобаза	s	1.4	55	86	78
автобан	s	1.1	39	76	63
автобус	s	64.8	100	94	1707
автограф	s	10.3	94	91	483
автоклав	s	0.8	22	61	28
автокран	s	1.1	30	68	37
автолавка	s	0.5	18	55	19
автомат	s	56.0	100	92	1376
автор	s	262.1	100	93	6216
авторучка	s	3.8	84	89	211
авторынок	s	0.7	30	80	46
автосалон	s	4.3	54	86	207
автостоп	s	0.8	37	71	41
автошкола	s	0.8	27	68	38
агар	s	0.4	9	51	17
агат	s	0.8	39	83	52
агент	s	39.2	100	92	1174
агентура	s	3.4	66	83	121
агитатор	s	3.2	70	85	146
агитка	s	0.5	29	80	38
агитпункт	s	0.4	16	63	18
агнец	s	2.5	53	61	103
агония	s	3.1	84	92	220
аграрий	s	3.3	46	83	177
агрегат	s	18.5	96	87	725
агрессия	s	13.1	98	91	617
агроном	s	5.4	80	82	204
агропром	s	0.4	28	82	32
агрофирма	s	0.8	28	68	38
агуша	s	0.4	5	37	6
адаптер	s	0.6	27	75	34
адвентист	s	0.4	18	66	21
адвокат	s	49.3	100	86	1197
адгезия	s	1.1	21	71	51
аденома	s	0.5	18	60	24
адепт	s	2.8	76	89	187
адмирал	s	13.5	95	90	379
адреналин	s	2.8	81	91	182
адрес	s	92.7	100	94	3560
адсорбция	s	1.8	12	63	66
адъютант	s	6.7	81	86	171
ажиотаж	s	4.0	81	90	296
ажур	s	1.0	51	82	70
азалия	s	1.2	30	48	33
азарт	s	11.8	94	94	607
азбука	s	3.7	86	89	212
азиат	s	2.3	64	85	126
азимут	s	1.6	52	83	78
азот	s	7.9	68	80	273
аист	s	3.1	70	86	120
айва	s	0.9	29	64	37
айкидо	s	0.8	25	76	33
айсберг	s	4.2	88	87	216
академик	s	49.2	100	90	1398
академия	s	70.3	100	92	2243
акация	s	4.1	82	88	192
акваланг	s	1.9	54	77	71
аквапарк	s	0.9	34	81	56
акварель	s	4.0	80	90	211
аквариум	s	8.3	95	90	371
акведук	s	0.4	22	77	22
аккорд	s	7.0	93	91	357
аккордеон	s	4.2	69	78	138
аконит	s	1.0	7	15	8
акрил	s	0.9	16	37	21
акробат	s	2.5	63	80	115
акрополь	s	0.6	27	77	36
аксессуар	s	5.5	73	87	365
аксиома	s	8.5	90	76	286
аксон	s	0.4	6	43	6
актер	s	114.4	99	87	1827
активатор	s	0.7	15	63	25
активист	s	6.3	88	90	407
актриса	s	40.4	95	88	959
акула	s	9.3	92	80	337
акустика	s	2.2	71	89	153
акушер	s	0.8	28	70	34
акцептор	s	0.6	8	37	13
акциз	s	5.3	52	83	190
акционер	s	36.3	77	78	860
акция	s	98.5	99	89	3051
алгебра	s	3.9	83	85	204
алгоритм	s	26.5	71	71	574
алебарда	s	0.6	31	81	37
алиби	s	2.6	63	78	104
алименты	s	6.0	79	56	184
алкалоид	s	0.6	16	71	24
алкаш	s	4.8	70	87	217
алкоголик	s	10.0	95	93	466
алкоголь	s	20.4	100	93	855
аллах	s	8.5	87	89	262
аллерген	s	0.9	32	75	41
аллергия	s	7.0	89	85	298
аллея	s	16.0	96	93	581
аллигатор	s	0.5	23	78	30
алмаз	s	16.7	96	87	512
алоэ	s	1.0	35	69	44
алтарь	s	9.2	92	83	354
алфавит	s	5.8	94	89	296
алхимик	s	1.7	61	84	98
