1,爱,ay,to love
1,八,ba,eight
1,爸爸,bah ba,(informal) father
1,杯子,bei tzy,cup
1,北京,beei jing,Beijing
2,本,been,roots or stems of plants
2,不客气,buh keh chi,you're welcome
2,不,buh,(negative prefix)
2,菜,tsay,dish (type of food)
2,茶,char,tea
3,吃,chy,to eat
3,出租车,chu tzu che,taxi
3,打电话,daa diann huah,make a telephone call
3,大,dah,big
3,的,de,of
4,点,dean,point
4,电脑,diann nao,computer
4,电视,diann shyh,television
4,电影,diann yiing,movie
4,东西,dong shi,thing
5,都,dou,all
5,读,dwu,to read
5,对不起,duey bu chii,unworthy
5,多,duo,many
5,多少,duo shau,how much
6,儿子,erl tzy,son
6,二,ell,two
6,饭馆,fann goan,restaurant
6,飞机,fei ji,airplane
6,分钟,fen jong,minute
7,高兴,gau shinq,happy
7,个,geh,variant of 個|个[gè]
7,工作,gong tzuoh,to work
7,狗,goou,dog
7,汉语,hann yeu,Chinese language
8,好,hao,good
8,喝,he,to drink
8,和,her,and
8,很,heen,(adverb of degree)
8,后面,how mhian,rear
9,回,hwei,to curve
9,会,huey,can
9,火车站,huoo che jann,train station
9,几,jii,how much
9,家,jia,home
10,叫,jiaw,to shout
10,今天,jin tian,today
10,九,jeou,nine
10,开,kai,to open
10,看,kann,to see
11,看见,kann jiann,to see
11,块,kuay,lump (of earth)
11,来,lai,to come
11,老师,lao shy,teacher
11,了,lhe,intensifying preceding
12,冷,leeng,cold
12,里,lii,li (Chinese mile)
12,零,ling,zero
12,六,liow,six
12,妈妈,mha mha,mama
13,吗,mha,(question tag)
13,买,mae,to buy
13,猫,mhau,cat
13,没,mei,verbs negative prefix
13,没关系,mei guan shi,it doesn't matter
14,米饭,mii fann,(cooked) rice
14,明天,ming tian,tomorrow
14,名字,ming tzy,name (of a person or thing)
14,哪,naa,how
14,那,nah,that
15,呢,nhe,previously qest appld preceding word
15,能,neng,to be able to
15,你,nii,you (informal
15,年,nian,year
15,女儿,nuu erl,daughter
16,朋友,perng iou,friend
16,漂亮,piaw lhiang,pretty
16,苹果,pyng guoo,apple
16,七,chi,seven
16,钱,chyan,coin
17,前面,chyan miann,ahead
17,请,chiing,to ask
17,去,chiuh,to go
17,热,reh,to warm up
17,人,ren,man
18,认识,renn shy,to know
18,日,ryh,sun
18,三,san,three
18,商店,shang diann,store
18,上,shanq,on top
19,上午,shanq wuu,morning
19,少,shao,few
19,谁,sheir,who
19,什么,shern me,what?
19,十,shyr,ten
20,时候,shyr hou,time
20,是,shyh,is
20,书,shu,book
20,水,shoei,water
20,水果,shoei guoo,fruit
21,睡觉,shuey jiaw,to go to bed
21,说话,shuo huah,to speak
21,四,syh,four
21,岁,suey,classifier for years (of age)
21,他,ta,he or him
22,她,ta,she
22,太,tay,highest
22,天气,tian chih,weather
22,听,ting,to listen
22,同学,torng shyue,to study at the same school
23,喂,wey,to feed
23,我,woo,I
23,我们,woo mhen,we
23,五,wuu,five
23,喜欢,shii huan,to like
24,下,shiah,down
24,下午,shiah wuu,afternoon
24,下雨,shiah yeu,to rain
24,先生,shian sheng,teacher
24,现在,shiann tzay,now
25,想,sheang,to think
25,小,sheau,small
25,小姐,sheau jie,young lady
25,些,shie,some
25,写,shiee,to write
26,谢谢,shieh shie,to thank
26,星期,shing chi,week
26,学生,shyue sheng,student
26,学习,shyue shyi,to learn
26,学校,shyue shiaw,school
27,一,i,one
27,衣服,i fu,clothes
27,医生,i sheng,doctor
27,医院,i yuann,hospital
27,椅子,yii tzy,chair
28,有,yeou,to have
28,月,yueh,moon
28,在,tzay,(located) at
28,再见,tzay jiann,goodbye
28,怎么,tzeen me,variant of 怎麼|怎么[zěn me]
29,怎么样,tzeen me yanq,how?
29,这,jeh,this
29,中国,jong gwo,China
29,中午,jong wuu,noon
29,住,juh,to live
30,桌子,juo tzy,table
30,字,tzyh,letter
30,昨天,tzwo tian,yesterday
30,坐,tzuoh,to sit
30,做,tzuoh,to do
31,吧,ba,suggestion or surmise
31,白,bair,white
31,百,bae,hundred
31,帮助,bang juh,assistance
31,报纸,baw jyy,newspaper
32,比,bii,comparison and -er than
32,别,bye,to leave
32,长,charng,length
32,唱歌,chanq ge,to sing a song
32,出,chu,to go out
33,穿,chuan,to bore through
33,船,chwan,a boat
33,次,tsyh,next in sequence
33,从,tsorng,from
33,错,tsuoh,mistake
34,打篮球,dar lan chyou,Play basketball
34,大家,dah jia,everyone
34,但是,dann shyh,but
34,到,daw,to (a place)
34,得,de,used after verb or adjective as main verb
35,得,deei,to have to
35,弟弟,dih di,younger brother
35,第一,dih i,first
35,懂,doong,to understand
35,房间,farng jian,room
36,非常,fei charng,unusual
36,服务员,fwu wuh yuan,waiter
36,高,gau,high
36,告诉,gaw su,to tell
36,哥哥,ge ge,older brother
37,给,geei,to
37,公共汽车,gong gonq chih che,bus
37,公斤,gong jin,kilogram (kg)
37,公司,gong sy,(business) company
37,贵,guey,expensive
38,还,hair,still
38,孩子,hair tzy,child
38,好吃,hao chy,tasty
38,号,haw,ordinal number
38,黑,hei,black
39,红,horng,red
39,欢迎,huan yng,to welcome
39,还,hwan,to pay back
39,回答,hwei dar,to reply
39,机场,ji chaang,airport
40,鸡蛋,ji dann,(chicken) egg
40,件,jiann,item
40,教室,jiaw shyh,classroom
40,姐姐,jiee jie,older sister
40,介绍,jieh shaw,to introduce (sb to sb)
41,进,jinn,to advance
41,近,jinn,near
41,就,jiow,at once
41,觉得,jyue de,to think
41,咖啡,ka fei,coffee
42,开始,kai shyy,to begin
42,考试,kao shyh,to take an exam
42,可能,kee neng,might (happen)
42,可以,kee yii,can
42,课,keh,subject
43,快,kuay,rapid
43,快乐,kuay leh,happy
43,累,ley,tired
43,离,li,to leave
43,两,leang,both
44,路,luh,road
44,旅游,luu you,trip
44,卖,may,to sell
44,慢,mann,slow
44,忙,mang,busy
45,每,meei,each
45,妹妹,mey mhei,younger sister
45,门,men,gate
45,男人,nan ren,a man
45,您,nin,you (courteous
46,牛奶,niou nae,cow's milk
46,女人,nuu ren,woman
46,旁边,parng bian,lateral
46,跑步,pao buh,to walk quickly
46,便宜,pyan i,small advantages
47,票,piaw,ticket
47,妻子,chi tzy,wife
47,起床,chii chwang,to get out of bed
47,千,chian,a swing
47,晴,chyng,clear
48,去年,chiuh nian,last year
48,让,ranq,to yield
48,上班,shanq ban,to go to work
48,身体,shen tii,(human) body
48,生病,sheng binq,to fall ill
49,生日,sheng ryh,birthday
49,时间,shyr jian,time
49,事情,shyh ching,affair
49,手表,shoou beau,wrist watch
49,手机,shoou ji,cell phone
50,送,sonq,to deliver
50,所以,suoo yii,therefore
50,它,ta,it
50,踢,ti,to kick
50,题,tyi,topic
51,跳舞,tiaw wuu,to dance
51,外,way,outside
51,完,wan,to finish
51,玩,wan,toy
51,晚上,woan shang,evening
52,为,wey,variant of 為|为
52,问,wenn,to ask
52,问题,wenn tyi,question
52,西瓜,shi gua,watermelon
52,希望,shi wanq,to wish for
53,洗,shii,to wash
53,向,shianq,towards
53,小时,sheau shyr,hour
53,笑,shiaw,laugh
53,新,shin,new
54,姓,shinq,family name
54,休息,shiou shi,rest
54,雪,sheue,snow
54,颜色,yan seh,color
54,眼睛,yean jing,eye
55,羊肉,yang row,mutton
55,药,yaw,medicine
55,要,yaw,important
55,也,yee,also
55,已经,yii jing,already
56,一起,i chii,in the same place
56,意思,yih sy,idea
56,阴,in,overcast (weather)
56,因为,in wey,because
56,游泳,you yeong,swimming
57,右边,yow bian,right side
57,鱼,yu,fish
57,元,yuan,Chinese monetary unit
57,远,yeuan,far
57,运动,yunn donq,to move
58,再,tzay,again
58,早上,tzao shang,early morning
58,张,jang,to open up
58,长,jaang,chief
58,丈夫,janq fu,husband
59,找,jao,to try to find
59,着,je,action in progress
59,真,jen,really
59,正在,jenq tzay,in the process of (doing something or happening)
59,知道,jy daw,to know
60,准备,joen bey,preparation
60,自行车,tzyh shyng che,bicycle
60,走,tzoou,to walk
60,最,tzuey,most
60,左边,tzuoo bian,left
